bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BILL_000001,SUB_00001,2025-10-01,152.15,Overdue,,0.0,
BILL_000002,SUB_00001,2025-11-01,125.49,Paid,2025-11-09,0.0,
BILL_000003,SUB_00001,2025-12-01,151.16,Paid,2025-12-11,0.0,
BILL_000004,SUB_00002,2025-10-01,318.26,Paid,2025-10-26,0.0,
BILL_000005,SUB_00002,2025-11-01,311.99,Paid,2025-11-24,58.3,Goodwill
BILL_000006,SUB_00002,2025-12-01,314.27,Partial,,0.0,
BILL_000007,SUB_00003,2025-10-01,238.16,Paid,2025-10-12,0.0,
BILL_000008,SUB_00003,2025-11-01,202.86,Paid,2025-11-05,0.0,
BILL_000009,SUB_00003,2025-12-01,213.17,Paid,2025-12-07,0.0,
BILL_000010,SUB_00004,2025-10-01,140.81,Paid,2025-10-02,0.0,
BILL_000011,SUB_00004,2025-11-01,133.92,Paid,2025-11-05,0.0,
BILL_000012,SUB_00004,2025-12-01,148.46,Paid,2025-12-27,0.0,
BILL_000013,SUB_00005,2025-10-01,155.71,Paid,2025-10-08,0.0,
BILL_000014,SUB_00005,2025-11-01,124.45,Paid,2025-12-01,0.0,
BILL_000015,SUB_00005,2025-12-01,136.68,Overdue,,0.0,
BILL_000016,SUB_00006,2025-10-01,111.99,Paid,2025-10-29,0.0,
BILL_000017,SUB_00006,2025-11-01,108.57,Overdue,,0.0,
BILL_000018,SUB_00006,2025-12-01,73.74,Paid,2025-12-08,0.0,
BILL_000019,SUB_00007,2025-10-01,90.01,Paid,2025-10-16,0.0,
BILL_000020,SUB_00007,2025-11-01,70.49,Paid,2025-11-13,0.0,
BILL_000021,SUB_00007,2025-12-01,95.89,Paid,2025-12-25,0.0,
BILL_000022,SUB_00008,2025-10-01,97.97,Paid,2025-10-13,0.0,
BILL_000023,SUB_00008,2025-11-01,95.78,Paid,2025-11-16,0.0,
BILL_000024,SUB_00008,2025-12-01,90.72,Paid,2025-12-11,0.0,
BILL_000025,SUB_00009,2025-10-01,235.86,Paid,2025-10-11,65.21,Billing Error
BILL_000026,SUB_00009,2025-11-01,239.27,Paid,2025-11-24,0.0,
BILL_000027,SUB_00009,2025-12-01,239.21,Paid,2025-12-08,0.0,
BILL_000028,SUB_00010,2025-10-01,503.21,Paid,2025-10-23,0.0,
BILL_000029,SUB_00010,2025-11-01,487.18,Paid,2025-11-10,0.0,
BILL_000030,SUB_00010,2025-12-01,532.41,Paid,2025-12-15,0.0,
BILL_000031,SUB_00011,2025-10-01,155.0,Paid,2025-10-07,0.0,
BILL_000032,SUB_00011,2025-11-01,152.57,Paid,2025-11-15,0.0,
BILL_000033,SUB_00011,2025-12-01,157.2,Paid,2025-12-26,0.0,
BILL_000034,SUB_00012,2025-10-01,177.75,Overdue,,0.0,
BILL_000035,SUB_00012,2025-11-01,136.49,Paid,2025-11-03,0.0,
BILL_000036,SUB_00012,2025-12-01,130.46,Paid,2025-12-20,0.0,
BILL_000037,SUB_00013,2025-10-01,105.32,Paid,2025-10-25,0.0,
BILL_000038,SUB_00013,2025-11-01,94.14,Pending,,0.0,
BILL_000039,SUB_00013,2025-12-01,115.98,Overdue,,0.0,
BILL_000040,SUB_00014,2025-10-01,355.9,Paid,,0.0,
BILL_000041,SUB_00014,2025-11-01,327.4,Paid,2025-11-22,0.0,
BILL_000042,SUB_00014,2025-12-01,341.87,Paid,2025-12-09,0.0,
BILL_000043,SUB_00015,2025-10-01,482.15,Paid,2025-10-07,0.0,
BILL_000044,SUB_00015,2025-11-01,523.74,Paid,2025-11-10,0.0,
BILL_000045,SUB_00015,2025-12-01,513.47,Pending,,0.0,
BILL_000046,SUB_00016,2025-10-01,147.06,Partial,,0.0,
BILL_000047,SUB_00016,2025-11-01,123.57,Paid,2025-11-05,0.0,
BILL_000048,SUB_00016,2025-12-01,140.54,Paid,2025-12-23,0.0,
BILL_000049,SUB_00017,2025-10-01,134.96,Paid,2025-10-09,27.06,Network Issue
BILL_000050,SUB_00017,2025-11-01,144.13,Overdue,,0.0,
BILL_000051,SUB_00017,2025-12-01,154.44,Paid,2025-12-04,0.0,
BILL_000052,SUB_00018,2025-10-01,98.94,Partial,,81.63,Billing Error
BILL_000053,SUB_00018,2025-11-01,104.21,Partial,,0.0,
BILL_000054,SUB_00018,2025-12-01,115.89,Paid,2025-12-06,0.0,
BILL_000055,SUB_00019,2025-10-01,310.74,Paid,2025-10-28,0.0,
BILL_000056,SUB_00019,2025-11-01,330.66,Paid,2025-11-06,0.0,
