subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00001,Customer 1,Abu Dhabi,Zone 5,Prepaid,Standard,109.69,2025-10-20,Active
SUB_00002,Customer 2,Dubai,Zone 3,Postpaid,Premium,306.21,2024-04-28,Active
SUB_00003,Customer 3,Fujairah,Zone 4,Postpaid,Standard,199.22,2024-01-30,Active
SUB_00004,Customer 4,Abu Dhabi,Zone 5,Prepaid,Basic,111.19,2024-10-12,Active
SUB_00005,Customer 5,Dubai,Zone 8,Prepaid,Basic,111.84,2024-09-11,Active
SUB_00006,Customer 6,Fujairah,Zone 1,Prepaid,Standard,67.05,2024-08-20,Active
SUB_00007,Customer 7,Ajman,Zone 4,Prepaid,Basic,51.6,2024-05-26,Active
SUB_00008,Customer 8,Dubai,Zone 4,Prepaid,Basic,53.44,2024-04-18,Suspended
SUB_00009,Customer 9,Dubai,Zone 8,Postpaid,Premium,231.19,2025-11-27,Active
SUB_00010,Customer 10,Dubai,Zone 2,Postpaid,Unlimited,484.22,2025-07-16,Active
SUB_00011,Customer 11,Ajman,Zone 8,Prepaid,Standard,146.12,2024-04-03,Active
SUB_00012,Customer 12,Sharjah,Zone 7,Postpaid,Standard,128.09,2025-08-31,Active
SUB_00013,Customer 13,Dubai,Zone 7,Prepaid,Basic,92.34,2025-03-12,Active
SUB_00014,Customer 14,Dubai,Zone 7,Postpaid,Premium,309.35,2024-02-06,Active
SUB_00015,Customer 15,Dubai,Zone 7,Postpaid,Unlimited,477.51,2024-02-04,Active
SUB_00016,Customer 16,Dubai,Zone 7,Prepaid,Basic,122.96,2024-04-09,Active
SUB_00017,Customer 17,Ajman,Zone 1,Prepaid,Standard,134.89,2024-08-15,Active
SUB_00018,Customer 18,Dubai,Zone 6,Prepaid,Standard,92.75,2024-08-30,Active
SUB_00019,Customer 19,Dubai,Zone 7,Postpaid,Premium,284.49,2025-06-05,Active
SUB_00020,Customer 20,Dubai,Zone 7,Prepaid,Standard,72.88,2025-09-12,Active
SUB_00021,Customer 21,Dubai,Zone 6,Postpaid,Premium,244.35,2024-02-01,Active
SUB_00022,Customer 22,Abu Dhabi,Zone 4,Prepaid,Standard,103.93,2025-08-01,Active
SUB_00023,Customer 23,Ajman,Zone 7,Postpaid,Standard,164.77,2024-07-26,Active
SUB_00024,Customer 24,Abu Dhabi,Zone 3,Prepaid,Standard,91.74,2025-10-31,Active
SUB_00025,Customer 25,Dubai,Zone 4,Prepaid,Basic,71.88,2025-12-23,Active
SUB_00026,Customer 26,Abu Dhabi,Zone 6,Postpaid,Unlimited,387.77,2025-07-16,Active
SUB_00027,Customer 27,Dubai,Zone 1,Postpaid,Standard,197.66,2025-03-09,Active
SUB_00028,Customer 28,Dubai,Zone 8,Postpaid,Standard,114.49,2024-08-17,Active
SUB_00029,Customer 29,Fujairah,Zone 8,Prepaid,Basic,86.97,2025-04-08,Active
SUB_00030,Customer 30,Sharjah,Zone 5,Postpaid,Premium,280.37,2025-08-30,Active
SUB_00031,Customer 31,Sharjah,Zone 4,Prepaid,Standard,135.84,2024-10-15,Active
SUB_00032,Customer 32,Dubai,Zone 2,Prepaid,Basic,114.52,2024-01-11,Active
SUB_00033,Customer 33,Sharjah,Zone 8,Prepaid,Standard,117.57,2024-06-16,Active
SUB_00034,Customer 34,Dubai,Zone 7,Postpaid,Standard,166.0,2025-12-19,Active
SUB_00035,Customer 35,Abu Dhabi,Zone 4,Prepaid,Standard,146.54,2025-03-12,Active
SUB_00036,Customer 36,Ajman,Zone 7,Prepaid,Basic,122.6,2024-12-18,Suspended
SUB_00037,Customer 37,Ajman,Zone 8,Postpaid,Unlimited,490.35,2024-10-15,Active
SUB_00038,Customer 38,Sharjah,Zone 6,Prepaid,Basic,116.35,2024-06-12,Active
SUB_00039,Customer 39,Dubai,Zone 2,Prepaid,Basic,149.45,2024-08-12,Active
SUB_00040,Customer 40,Dubai,Zone 6,Prepaid,Standard,114.96,2024-12-14,Active
SUB_00041,Customer 41,Sharjah,Zone 1,Prepaid,Standard,113.63,2024-04-18,Active
SUB_00042,Customer 42,Abu Dhabi,Zone 6,Prepaid,Standard,113.11,2024-04-08,Active
SUB_00043,Customer 43,Abu Dhabi,Zone 4,Postpaid,Unlimited,384.53,2025-01-28,Active
SUB_00044,Customer 44,Abu Dhabi,Zone 8,Postpaid,Standard,194.05,2024-04-13,Churned
SUB_00045,Customer 45,Ajman,Zone 3,Postpaid,Unlimited,399.61,2025-01-06,Active
SUB_00046,Customer 46,Abu Dhabi,Zone 4,Postpaid,Standard,138.51,2024-12-22,Suspended
SUB_00047,Customer 47,Dubai,Zone 8,Prepaid,Basic,134.42,2025-09-14,Suspended
SUB_00048,Customer 48,Dubai,Zone 2,Postpaid,Unlimited,371.01,2024-10-01,Active
SUB_00049,Customer 49,Ajman,Zone 1,Postpaid,Standard,170.89,2024-02-18,Active
SUB_00050,Customer 50,Dubai,Zone 2,Postpaid,Unlimited,486.99,2025-04-19,Active
SUB_00051,Customer 51,Abu Dhabi,Zone 5,Prepaid,Basic,89.68,2025-07-07,Active
SUB_00052,Customer 52,Ajman,Zone 7,Prepaid,Basic,107.83,2024-05-11,Active
SUB_00053,Customer 53,Abu Dhabi,Zone 7,Postpaid,Unlimited,479.06,2025-01-26,Active
SUB_00054,Customer 54,Dubai,Zone 7,Prepaid,Basic,102.22,2024-03-25,Active
SUB_00055,Customer 55,Dubai,Zone 5,Prepaid,Standard,69.44,2025-07-23,Active
SUB_00056,Customer 56,Sharjah,Zone 8,Postpaid,Unlimited,427.45,2024-10-31,Active
SUB_00057,Customer 57,Sharjah,Zone 7,Prepaid,Standard,75.09,2025-10-09,Active
SUB_00058,Customer 58,Dubai,Zone 7,Postpaid,Premium,225.99,2025-09-29,Active
SUB_00059,Customer 59,Dubai,Zone 6,Prepaid,Basic,143.46,2025-01-09,Active
SUB_00060,Customer 60,Abu Dhabi,Zone 8,Prepaid,Standard,91.96,2025-08-18,Active
SUB_00061,Customer 61,AbuDhabi,Zone 5,Prepaid,Basic,59.18,2024-07-19,Active
SUB_00062,Customer 62,Dubai,Zone 6,Postpaid,Premium,214.68,2025-12-26,Active
SUB_00063,Customer 63,Abu Dhabi,Zone 1,Prepaid,Standard,54.81,2024-03-16,Suspended
SUB_00064,Customer 64,Ajman,Zone 4,Prepaid,Standard,100.31,2024-02-20,Suspended
SUB_00065,Customer 65,Sharjah,Zone 4,Postpaid,Unlimited,491.64,2025-11-12,Suspended
SUB_00066,Customer 66,Abu Dhabi,Zone 4,Prepaid,Basic,114.33,2024-08-25,Active
SUB_00067,Customer 67,Abu Dhabi,Zone 5,Postpaid,Unlimited,447.72,2024-10-27,Active
SUB_00068,Customer 68,Dubai,Zone 4,Prepaid,Basic,59.44,2024-03-26,Active
SUB_00069,Customer 69,Dubai,Zone 8,Prepaid,Standard,84.06,2024-08-30,Active
SUB_00070,Customer 70,Abu Dhabi,Zone 2,Postpaid,Premium,331.62,2024-04-17,Active
SUB_00071,Customer 71,Sharjah,Zone 1,Prepaid,Basic,106.85,2025-01-28,Active
