ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team,zone,city
TKT_000001,SUB_02975,2025-11-14,App,Complaint,Medium,Resolved,2025-11-14,48,Tier 2,Zone 2,Abu Dhabi
TKT_000002,SUB_03024,2025-12-24,Online Chat,Technical Support,High,Escalated,,24,Tier 1,Zone 6,Abu Dhabi
TKT_000003,SUB_02391,2025-11-05,Call Center,Network Issue,Low,resolved,,48,Tier 2,Zone 8,Sharjah
TKT_000004,SUB_04335,2025-12-19,Call Center,Network Issue,High,Resolved,2025-12-20,48,Field Ops,Zone 3,Sharjah
TKT_000005,SUB_02129,2025-12-23,Call Center,Network Issue,Low,Resolved,2025-12-23,48,Tier 2,Zone 2,Dubai
TKT_000006,SUB_02593,2025-09-12,App,Billing Query,Medium,Resolved,2025-09-16,24,Tier 1,Zone 4,Dubai
TKT_000007,SUB_01539,2025-12-17,App,Network Issue,Low,Resolved,2025-12-20,24,Tier 2,Zone 7,Dubai
TKT_000008,SUB_04813,2025-10-24,Retail Store,Network Issue,Critical,Resolved,2025-10-25,48,Tier 1,Zone 8,Dubai
TKT_000009,SUB_04202,2025-09-16,App,Technical Support,Medium,Resolved,,48,Tier 1,Zone 4,Ajman
TKT_000010,SUB_02735,2025-10-24,App,Billing Query,Critical,Resolved,2025-10-24,48,Tier 2,Zone 1,Abu Dhabi
TKT_000011,SUB_02266,2025-11-22,App,Complaint,Medium,Open,,72,Tier 1,Zone 6,Sharjah
TKT_000012,SUB_00413,2025-09-19,Online Chat,Plan Change,Medium,Resolved,2025-09-20,48,Tier 1,Zone 5,Abu Dhabi
TKT_000013,SUB_02353,2025-12-24,Call Center,Network Issue,Medium,Resolved,2025-12-28,24,Tier 1,Zone 6,AbuDhabi
TKT_000014,SUB_01087,2025-09-20,App,Complaint,Medium,Resolved,2025-09-24,48,Tier 3,Zone 1,Ajman
TKT_000015,SUB_01945,2025-11-15,Call Center,Network Issue,High,In Progress,,72,Tier 3,Zone 6,Fujairah
TKT_000016,SUB_00125,2025-09-23,Online Chat,Billing Query,High,Resolved,2025-09-23,72,Tier 2,Zone 3,Dubai
TKT_000017,SUB_01482,2025-11-13,App,Complaint,Medium,Resolved,2025-11-13,24,Tier 1,Zone 3,Dubai
TKT_000018,SUB_04889,2025-12-12,App,Plan Change,Medium,Resolved,2025-12-13,72,Tier 3,Zone 7,Abu Dhabi
TKT_000019,SUB_01454,2026-01-02,Call Center,Plan Change,Low,Open,,24,Tier 3,Zone 3,Ajman
TKT_000020,SUB_02574,2025-11-14,App,Network Issue,Low,Resolved,,48,Tier 1,Zone 2,Dubai
TKT_000021,SUB_01688,2025-09-10,Call Center,Network Issue,Medium,Escalated,,24,Tier 2,Zone 8,Fujairah
TKT_000022,SUB_01934,2025-10-19,Call Center,Technical Support,High,Resolved,2025-10-23,48,Tier 1,Zone 8,Abu Dhabi
TKT_000023,SUB_03224,2025-10-12,Online Chat,Technical Support,Low,Resolved,2025-10-14,48,Tier 1,Zone 1,Ajman
TKT_000024,SUB_02402,2025-12-29,App,Network Issue,High,Open,,24,Tier 1,Zone 6,Abu Dhabi
TKT_000025,SUB_04412,2025-10-20,App,Network Issue,High,In Progress,,24,Tier 1,Zone 4,Dubai
TKT_000026,SUB_03180,2025-10-12,Online Chat,Billing Query,Critical,Resolved,2025-10-12,24,Field Ops,Zone 2,Fujairah
TKT_000027,SUB_00578,2025-09-30,App,Network Issue,Low,Resolved,2025-10-02,24,Field Ops,Zone 1,Abu Dhabi
TKT_000028,SUB_01734,2025-11-22,Call Center,Technical Support,High,In Progress,,24,Tier 3,Zone 5,Dubai
TKT_000029,SUB_02618,2025-10-21,Call Center,Network Issue,High,Resolved,2025-10-23,72,Tier 3,Zone 5,Sharjah
TKT_000030,SUB_01965,2025-10-18,Retail Store,Complaint,Medium,Resolved,2025-10-20,24,Tier 1,Zone 2,Dubai
TKT_000031,SUB_00174,2025-12-03,Call Center,Network Issue,Low,In Progress,,24,Tier 2,Zone 2,Abu Dhabi
TKT_000032,SUB_00535,2025-12-11,App,Billing Query,Medium,Resolved,2025-12-12,24,Field Ops,Zone 3,Abu Dhabi
TKT_000033,SUB_01739,2025-11-07,Online Chat,Plan Change,Medium,In Progress,,48,Tier 2,Zone 7,Abu Dhabi
