usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_000001,SUB_03455,2025-12-23,4.3,423,71,32.36,4.05
USG_000002,SUB_02136,2025-12-30,10.98,313,6,3.07,2.98
USG_000003,SUB_04950,2025-09-08,20.8,329,20,10.98,17.67
USG_000004,SUB_03860,2025-11-10,14.99,434,60,25.3,8.47
USG_000005,SUB_02292,2025-12-25,26.22,253,21,0.38,7.96
USG_000006,SUB_03302,2025-09-16,2.68,384,62,6.71,2.19
USG_000007,SUB_03886,2025-10-18,6.25,123,42,30.38,2.98
USG_000008,SUB_01079,2025-10-12,4.78,25,64,66.93,107.74
USG_000009,SUB_04194,2025-10-05,15.01,281,82,60.64,8.85
USG_000010,SUB_04380,2025-10-25,14.62,206,30,29.87,30.67
USG_000011,SUB_04520,2025-09-17,13.96,235,56,10.2,5.19
USG_000012,SUB_03782,2025-12-18,3.63,293,57,4.36,21.91
USG_000013,SUB_01688,2025-09-18,2.64,438,63,12.46,11.31
USG_000014,SUB_04247,2025-11-03,4.24,161,15,0.32,7.44
USG_000015,SUB_03973,2025-11-09,4.26,381,83,9.89,27.27
USG_000016,SUB_04883,2025-09-09,9.78,52,51,4.39,39.33
USG_000017,SUB_03985,2025-10-29,12.01,18,71,3.1,12.41
USG_000018,SUB_01334,2025-11-16,4.86,0,11,21.37,1.84
USG_000019,SUB_03121,2025-12-17,9.7,309,79,7.08,42.67
USG_000020,SUB_02399,2025-11-27,7.95,155,65,18.97,15.49
USG_000021,SUB_04194,2025-11-17,8.01,105,83,23.6,25.79
USG_000022,SUB_03135,2025-12-01,2.13,233,43,25.47,30.33
USG_000023,SUB_03823,2025-10-23,4.26,422,6,4.56,6.72
USG_000024,SUB_04720,2025-12-20,3.0,114,58,12.55,2.3
USG_000025,SUB_00392,2025-10-19,14.93,286,98,30.19,22.44
USG_000026,SUB_04235,2025-11-25,25.8,307,60,6.54,1.9
USG_000027,SUB_04723,2025-12-07,12.98,336,46,20.18,9.63
USG_000028,SUB_02177,2025-12-07,2.14,231,14,12.02,4.35
USG_000029,SUB_04273,2025-09-19,4.88,388,84,21.08,3.26
USG_000030,SUB_02531,2025-10-05,1.34,1,43,21.04,48.83
USG_000031,SUB_02031,2025-10-22,5.69,424,81,12.57,9.04
USG_000032,SUB_02031,2025-12-18,9.44,149,70,25.54,24.85
USG_000033,SUB_01509,2025-11-12,12.23,191,89,3.68,12.91
USG_000034,SUB_04674,2025-09-20,4.3,23,21,16.1,4.81
USG_000035,SUB_03542,2025-11-09,5.07,71,91,25.34,2.78
USG_000036,SUB_02047,2025-12-11,6.01,369,52,2.2,4.85
USG_000037,SUB_03941,2025-09-20,2.39,130,78,32.33,19.02
USG_000038,SUB_00834,2025-10-02,15.26,96,15,2.2,4.56
USG_000039,SUB_00031,2026-01-04,14.35,436,50,23.21,49.45
USG_000040,SUB_02552,2025-10-04,9.45,234,100,26.55,0.11
USG_000041,SUB_00685,2025-10-01,9.11,366,43,29.84,5.5
USG_000042,SUB_00742,2025-09-20,15.68,387,53,36.23,18.87
USG_000043,SUB_01902,2025-09-12,10.53,474,81,5.26,18.0
USG_000044,SUB_00057,2025-12-23,3.77,344,75,8.14,15.57
USG_000045,SUB_03650,2025-09-22,4.71,395,57,6.62,13.38
USG_000046,SUB_00748,2025-11-04,4.47,337,75,19.09,78.08
USG_000047,SUB_00201,2025-11-10,9.16,68,63,20.43,5.48
USG_000048,SUB_02508,2025-09-07,15.07,271,94,20.86,4.6
USG_000049,SUB_04820,2025-09-13,2.46,283,55,15.43,23.69
USG_000050,SUB_00896,2025-12-23,7.65,299,61,33.72,36.72
USG_000051,SUB_01239,2026-01-03,15.65,260,99,2.39,39.21
USG_000052,SUB_03768,2026-01-02,2.35,466,22,11.09,2.05
USG_000053,SUB_02550,2025-12-04,6.39,296,22,21.46,24.35
USG_000054,SUB_02091,2025-12-09,5.19,417,16,20.23,27.62
USG_000055,SUB_02144,2025-09-20,3.3,198,84,14.56,26.24
USG_000056,SUB_00870,2025-11-22,27.85,310,41,28.36,12.34
USG_000057,SUB_02201,2025-11-10,5.45,451,49,20.86,48.05
USG_000058,SUB_02474,2025-10-30,9.57,311,88,1.33,27.12
USG_000059,SUB_02720,2025-12-13,8.34,127,35,9.98,4.38
USG_000060,SUB_02842,2025-10-27,2.36,493,43,3.34,5.8
USG_000061,SUB_03600,2025-10-14,8.71,231,17,4.73,2.43
USG_000062,SUB_04817,2025-09-24,7.27,211,77,23.65,13.21
USG_000063,SUB_03393,2025-12-05,5.79,453,95,9.13,21.91
USG_000064,SUB_01061,2025-11-11,4.99,153,89,18.0,30.17
USG_000065,SUB_01279,2025-11-16,9.06,440,40,49.13,0.16
USG_000066,SUB_04806,2025-12-07,4.29,377,70,7.24,15.49
USG_000067,SUB_04241,2025-11-26,11.29,111,25,1.51,0.73
USG_000068,SUB_04952,2025-10-03,15.0,319,91,4.73,7.75
USG_000069,SUB_00024,2025-10-14,15.51,351,44,10.0,11.95
USG_000070,SUB_03102,2026-01-02,1.99,344,16,4.67,17.49
USG_000071,SUB_03982,2025-12-06,2.98,332,22,28.68,8.67
USG_000072,SUB_02163,2025-11-10,3.92,277,88,4.99,13.91
USG_000073,SUB_03971,2025-11-27,1.69,165,90,1.15,3.25
USG_000074,SUB_01125,2025-09-21,6.94,389,45,54.33,1.74
USG_000075,SUB_00017,2025-11-17,11.22,245,74,20.61,10.89
USG_000076,SUB_00967,2025-11-19,10.34,482,85,33.28,20.81
USG_000077,SUB_04528,2025-12-06,6.0,213,86,2.08,24.04
USG_000078,SUB_02967,2025-12-11,2.61,457,68,30.78,28.49
USG_000079,SUB_03739,2025-10-13,11.5,449,54,15.34,8.62
USG_000080,SUB_00825,2025-12-19,8.38,6,66,11.6,27.25
USG_000081,SUB_00781,2025-09-20,3.29,12,48,5.74,10.24
USG_000082,SUB_01467,2025-09-25,7.67,27,85,15.13,12.78
USG_000083,SUB_02498,2025-09-14,2.2,102,34,14.47,9.84
USG_000084,SUB_04035,2025-12-12,20.64,402,20,15.1,0.11
USG_000085,SUB_00339,2025-10-13,13.39,349,32,13.82,14.49
USG_000086,SUB_03043,2025-09-25,3.55,429,7,32.22,8.1
USG_000087,SUB_04041,2025-12-04,14.09,401,37,12.85,7.14
USG_000088,SUB_02293,2025-10-03,7.75,385,69,13.32,42.21
USG_000089,SUB_01245,2025-09-11,2.41,183,57,20.88,10.97
USG_000090,SUB_03272,2025-09-20,32.22,315,86,29.18,1.55
USG_000091,SUB_01548,2025-12-10,3.22,287,28,44.0,21.8
USG_000092,SUB_01390,2025-12-11,8.11,331,71,23.68,7.22
USG_000093,SUB_01963,2025-10-26,32.45,121,65,15.65,30.21
USG_000094,SUB_03307,2025-12-16,15.31,407,89,11.08,48.48
USG_000095,SUB_02621,2025-10-13,7.09,354,85,50.31,44.84
USG_000096,SUB_04661,2025-09-13,11.17,474,48,26.24,57.52
USG_000097,SUB_04807,2025-10-26,15.9,213,100,31.13,44.31
USG_000098,SUB_02239,2025-12-03,13.2,160,70,7.31,2.53
USG_000099,SUB_02853,2025-09-13,23.64,6,95,42.86,30.75
USG_000100,SUB_02915,2025-10-09,7.44,103,79,28.84,28.63
USG_000101,SUB_00021,2025-12-27,0.71,399,56,34.31,26.8
USG_000102,SUB_03679,2025-12-22,23.03,115,81,2.3,2.85
USG_000103,SUB_04343,2025-12-06,5.48,363,82,21.11,61.75
USG_000104,SUB_02544,2025-10-24,4.2,386,75,6.36,13.52
USG_000105,SUB_03469,2025-11-15,10.6,378,77,83.17,2.67
USG_000106,SUB_02351,2025-10-02,5.88,397,92,14.64,40.35
USG_000107,SUB_00830,2025-10-01,9.71,150,57,10.92,0.07
USG_000108,SUB_02994,2025-09-29,4.71,349,9,34.48,0.99
USG_000109,SUB_04326,2025-09-30,5.85,492,22,25.91,0.01
USG_000110,SUB_00674,2025-12-10,25.53,263,15,34.02,11.87
USG_000111,SUB_04323,2025-10-25,16.1,20,54,10.46,8.57
USG_000112,SUB_03264,2025-10-12,8.09,284,33,12.65,0.7
USG_000113,SUB_01491,2025-09-23,0.33,82,74,6.04,36.02
USG_000114,SUB_03714,2025-12-24,10.97,130,0,14.14,19.77
USG_000115,SUB_00902,2025-10-19,5.98,238,90,0.84,2.87
